i, t, y, v
551, 2.755000, 2.397763, -1.404133
552, 2.760000, 2.390743, -1.400028
553, 2.765000, 2.383743, -1.395935
554, 2.770000, 2.376763, -1.391854
555, 2.775000, 2.369804, -1.387784
556, 2.780000, 2.362865, -1.383727
557, 2.785000, 2.355946, -1.379681
558, 2.790000, 2.349048, -1.375647
559, 2.795000, 2.342169, -1.371624
560, 2.800000, 2.335311, -1.367613
561, 2.805000, 2.328473, -1.363614
562, 2.810000, 2.321655, -1.359627
563, 2.815000, 2.314857, -1.355651
564, 2.820000, 2.308079, -1.351686
565, 2.825000, 2.301320, -1.347733
566, 2.830000, 2.294582, -1.343792
567, 2.835000, 2.287863, -1.339862
568, 2.840000, 2.281163, -1.335943
569, 2.845000, 2.274484, -1.332036
570, 2.850000, 2.267823, -1.328140
571, 2.855000, 2.261183, -1.324256
572, 2.860000, 2.254561, -1.320382
573, 2.865000, 2.247960, -1.316520
574, 2.870000, 2.241377, -1.312669
575, 2.875000, 2.234814, -1.308830
576, 2.880000, 2.228269, -1.305001
577, 2.885000, 2.221744, -1.301184
578, 2.890000, 2.215239, -1.297378
579, 2.895000, 2.208752, -1.293583
580, 2.900000, 2.202284, -1.289798
581, 2.905000, 2.195835, -1.286025
582, 2.910000, 2.189405, -1.282263
583, 2.915000, 2.182993, -1.278512
584, 2.920000, 2.176601, -1.274772
585, 2.925000, 2.170227, -1.271042
586, 2.930000, 2.163872, -1.267324
587, 2.935000, 2.157535, -1.263616
588, 2.940000, 2.151217, -1.259919
589, 2.945000, 2.144917, -1.256233
590, 2.950000, 2.138636, -1.252557
591, 2.955000, 2.132373, -1.248892
592, 2.960000, 2.126129, -1.245238
593, 2.965000, 2.119903, -1.241595
594, 2.970000, 2.113695, -1.237962
595, 2.975000, 2.107505, -1.234340
596, 2.980000, 2.101333, -1.230728
597, 2.985000, 2.095180, -1.227127
598, 2.990000, 2.089044, -1.223536
599, 2.995000, 2.082926, -1.219956
600, 3.000000, 2.076827, -1.216386
601, 3.005000, 2.070745, -1.212826
602, 3.010000, 2.064681, -1.209277
603, 3.015000, 2.058634, -1.205739
604, 3.020000, 2.052605, -1.202210
605, 3.025000, 2.046594, -1.198692
606, 3.030000, 2.040601, -1.195184
607, 3.035000, 2.034625, -1.191686
608, 3.040000, 2.028667, -1.188199
609, 3.045000, 2.022726, -1.184722
610, 3.050000, 2.016802, -1.181254
611, 3.055000, 2.010896, -1.177797
612, 3.060000, 2.005007, -1.174350
613, 3.065000, 1.999135, -1.170913
614, 3.070000, 1.993280, -1.167487
615, 3.075000, 1.987443, -1.164070
616, 3.080000, 1.981623, -1.160663
617, 3.085000, 1.975819, -1.157266
618, 3.090000, 1.970033, -1.153879
619, 3.095000, 1.964264, -1.150501
620, 3.100000, 1.958511, -1.147134
621, 3.105000, 1.952775, -1.143776
622, 3.110000, 1.947057, -1.140429
623, 3.115000, 1.941354, -1.137091
624, 3.120000, 1.935669, -1.133762
625, 3.125000, 1.930000, -1.130444
626, 3.130000, 1.924348, -1.127135
627, 3.135000, 1.918712, -1.123836
628, 3.140000, 1.913093, -1.120546
629, 3.145000, 1.907490, -1.117266
630, 3.150000, 1.901904, -1.113996
631, 3.155000, 1.896334, -1.110735
632, 3.160000, 1.890780, -1.107483
633, 3.165000, 1.885243, -1.104242
634, 3.170000, 1.879722, -1.101009
635, 3.175000, 1.874217, -1.097786
636, 3.180000, 1.868728, -1.094573
637, 3.185000, 1.863255, -1.091368
638, 3.190000, 1.857798, -1.088174
639, 3.195000, 1.852357, -1.084988
640, 3.200000, 1.846932, -1.081812
641, 3.205000, 1.841523, -1.078645
642, 3.210000, 1.836130, -1.075487
643, 3.215000, 1.830752, -1.072339
644, 3.220000, 1.825391, -1.069200
645, 3.225000, 1.820045, -1.066070
646, 3.230000, 1.814714, -1.062949
647, 3.235000, 1.809400, -1.059837
648, 3.240000, 1.804101, -1.056734
649, 3.245000, 1.798817, -1.053640
650, 3.250000, 1.793549, -1.050556
651, 3.255000, 1.788296, -1.047480
652, 3.260000, 1.783058, -1.044413
653, 3.265000, 1.777836, -1.041356
654, 3.270000, 1.772630, -1.038307
655, 3.275000, 1.767438, -1.035267
656, 3.280000, 1.762262, -1.032236
657, 3.285000, 1.757101, -1.029214
658, 3.290000, 1.751955, -1.026201
659, 3.295000, 1.746824, -1.023196
660, 3.300000, 1.741708, -1.020201
661, 3.305000, 1.736607, -1.017214
662, 3.310000, 1.731520, -1.014236
663, 3.315000, 1.726449, -1.011266
664, 3.320000, 1.721393, -1.008305
665, 3.325000, 1.716351, -1.005353
666, 3.330000, 1.711325, -1.002409
667, 3.335000, 1.706313, -0.999475
668, 3.340000, 1.701315, -0.996548
669, 3.345000, 1.696332, -0.993630
670, 3.350000, 1.691364, -0.990721
671, 3.355000, 1.686411, -0.987820
672, 3.360000, 1.681472, -0.984928
673, 3.365000, 1.676547, -0.982044
674, 3.370000, 1.671637, -0.979169
675, 3.375000, 1.666741, -0.976302
676, 3.380000, 1.661859, -0.973443
677, 3.385000, 1.656992, -0.970593
678, 3.390000, 1.652139, -0.967751
679, 3.395000, 1.647300, -0.964917
680, 3.400000, 1.642476, -0.962092
681, 3.405000, 1.637665, -0.959275
682, 3.410000, 1.632869, -0.956466
683, 3.415000, 1.628087, -0.953665
684, 3.420000, 1.623318, -0.950873
685, 3.425000, 1.618564, -0.948089
686, 3.430000, 1.613824, -0.945313
687, 3.435000, 1.609097, -0.942545
688, 3.440000, 1.604384, -0.939785
689, 3.445000, 1.599685, -0.937033
690, 3.450000, 1.595000, -0.934289
691, 3.455000, 1.590329, -0.931553
692, 3.460000, 1.585671, -0.928825
693, 3.465000, 1.581027, -0.926106
694, 3.470000, 1.576396, -0.923394
695, 3.475000, 1.571779, -0.920690
696, 3.480000, 1.567176, -0.917994
